"filename", "language", "Swift", "XML", "YAML", "Dart", "CMake", "C++", "JSON", "comment", "blank", "total"
"e:\new\bekam\lib\presentation\widgets\home_page\category\home_category_container.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 3, 66
"e:\new\bekam\lib\presentation\widgets\home_page\nearby_stores\home_nearby_stores_container.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 3, 72
"e:\new\bekam\lib\presentation\widgets\home_page\nearby_stores\store_item.dart", "Dart", 0, 0, 0, 94, 0, 0, 0, 0, 4, 98
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\home_latest_product_container.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\home_popular_items_container.dart", "Dart", 0, 0, 0, 64, 0, 0, 0, 0, 3, 67
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\poduct_rate.dart", "Dart", 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"e:\new\bekam\lib\presentation\widgets\home_page\popular&latest products\product_item.dart", "Dart", 0, 0, 0, 132, 0, 0, 0, 0, 4, 136
"e:\new\bekam\lib\presentation\widgets\home_page\search\home_page_search_top_bar.dart", "Dart", 0, 0, 0, 135, 0, 0, 0, 0, 3, 138
"e:\new\bekam\lib\presentation\widgets\home_page\set_menu\home_set_menu_container.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 3, 66
"e:\new\bekam\lib\presentation\widgets\home_page\set_menu\set_menu_item.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 3, 73
"e:\new\bekam\lib\presentation\widgets\onboarding\onboarding_item.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 9, 5, 63
"e:\new\bekam\lib\presentation\widgets\register\common\facebook_login_btn.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 10, 8, 45
"e:\new\bekam\lib\presentation\widgets\register\common\google_login_btn.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 10, 8, 45
"e:\new\bekam\lib\presentation\widgets\register\common\or_widget.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 5, 5, 42
"e:\new\bekam\lib\presentation\widgets\register\login\login_email_text_field.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 6, 3, 30
"e:\new\bekam\lib\presentation\widgets\register\login\login_password_text_field.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 7, 3, 32
"e:\new\bekam\lib\presentation\widgets\register\password_recovery\password_recovery_email_text_field.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 9, 3, 39
"e:\new\bekam\lib\presentation\widgets\register\signup\signup_email_text_field.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 8, 3, 32
